"Recid","Comname","Comlocation","Recdate","Comsize","Advertising","Visit","Meeting","Tecconsult","Tecresearch","Costoffice","Costtravel","Costentertain","Costbonus","Sales"
"1","xxx","beijing","2019","middle","0","0","0","0","0","5875","721","701","791","299172"
"2","xxx","shanghai","2020","small","0","0","23.8","65.1","11.1","904","242","159","497","133131"
"3","xxx","shandong","2011","middle","13.2","47.2","0","0","39.7","4521","902","637","524","438508"
"4","xxx","shanghai","2015","middle","45.4","18.8","25.5","0","10.3","5141","828","709","857","307632"
"5","xxx","shanghai","2011","small","0","0","100","0","0","2182","262","178","522","134047"
"6","xxx","tianjin","2013","middle","23.2","21.4","26.8","28.6","0","4044","827","782","913","208397"
"7","xxx","tianjin","2013","small","18.5","0","0","81.5","0","1384","393","298","948","209199"
"8","xxx","shandong","2021","middle","0","0","0","0","0","5518","785","738","590","564270"
"9","xxx","shandong","2019","small","0","31.2","0","68.8","0","1003","240","183","496","264443"
"10","xxx","tianjin","2015","small","19.3","80.7","0","0","0","2441","268","136","843","164135"
"11","xxx","beijing","2014","small","75.6","0","0","0","24.4","2717","136","109","268","78626"
"12","xxx","tianjin","2011","middle","45.8","51.7","0","0","2.5","3431","905","952","707","285070"
"13","xxx","shandong","2015","middle","44.2","18.4","0","37.4","0","4476","778","953","1053","589128"
"14","xxx","tianjin","2013","small","37.3","1.9","5.7","0","55.1","3398","401","195","382","70680"
"15","xxx","shanghai","2014","small","48.9","21.4","9.1","18.3","2.4","3900","216","277","803","181719"
"16","xxx","beijing","2013","small","24.2","27.8","14.2","8.1","25.6","1784","167","152","736","237260"
"17","xxx","shanghai","2020","middle","37.1","32.8","0","30.2","0","4273","746","853","1425","493046"
"18","xxx","shanghai","2018","middle","0","67.4","0","32.6","0","4395","844","775","1040","436645"
"19","xxx","hebei","2016","small","54.2","0","45.8","0","0","3471","407","170","548","72570"
"20","xxx","shanghai","2012","middle","0","3.2","54.5","42.3","0","5502","963","609","728","341597"
"21","xxx","shanghai","2013","middle","0","65.1","14.3","0","20.6","5926","906","954","1019","351305"
"22","xxx","beijing","2017","middle","0","41.4","0","58.6","0","4910","810","969","755","569796"
"23","xxx","shandong","2021","middle","34.8","28.7","24.2","0","12.4","4578","947","667","773","396351"
"24","xxx","shandong","2013","middle","47.1","0","52.9","0","0","5637","926","757","507","380587"
"25","xxx","shanghai","2019","middle","0","0","0","51.9","48.1","3046","797","736","1288","493885"
"26","xxx","shandong","2018","small","0","0","0","100","0","2771","442","147","436","269661"
"27","xxx","shandong","2015","middle","25.4","24.5","0","0","50.1","3456","718","959","1315","267945"
"28","xxx","shandong","2020","middle","0","68.4","0","31.6","0","4300","916","765","1241","523395"
"29","xxx","tianjin","2012","small","0","100","0","0","0","1626","239","283","583","86903"
"30","xxx","hebei","2015","small","0","17.5","19.3","24.4","38.7","1554","184","212","985","141584"
"31","xxx","beijing","2019","small","0","0","0","100","0","3161","136","205","689","201577"
"32","xxx","beijing","2015","middle","0","0","100","0","0","3586","862","853","698","583750"
"33","xxx","tianjin","2012","middle","0","13.3","31.3","23.7","31.7","4330","714","632","927","379982"
"34","xxx","hebei","2019","small","38.8","9.5","31.3","5.2","15.2","656","274","288","671","267971"
"35","xxx","shandong","2012","small","47.8","9.2","0","43","0","2325","260","296","533","88298"
"36","xxx","tianjin","2019","small","0","54.3","0","25.9","19.8","2604","380","149","892","205336"
"37","xxx","beijing","2013","middle","0","42.2","0","43.3","14.6","4468","876","676","1073","283492"
"38","xxx","shandong","2016","small","0","0","49.6","50.4","0","2053","480","261","677","162396"
"39","xxx","hebei","2014","small","0","0","0","100","0","3952","119","297","398","115101"
"40","xxx","shandong","2018","middle","55.2","25","14.8","5","0","5577","716","680","1379","367991"
"41","xxx","tianjin","2018","small","20.5","0","4.6","54.7","20.2","2778","321","196","718","208925"
"42","xxx","hebei","2016","small","6","42.4","0","0","51.5","3174","474","177","226","187904"
"43","xxx","tianjin","2012","small","14.6","0","49.6","35.8","0","2138","265","261","658","73755"
"44","xxx","hebei","2020","middle","4.1","8.5","14.9","16.1","56.4","3049","973","773","1208","456896"
"45","xxx","shanghai","2012","middle","0","60.5","39.5","0","0","3008","801","956","1206","419636"
"46","xxx","beijing","2013","middle","64.6","12.6","0","0","22.8","4143","776","850","658","539991"
"47","xxx","tianjin","2015","middle","0","0","100","0","0","4227","824","795","899","388381"
"48","xxx","tianjin","2011","middle","0","12.1","30.5","0","57.4","3368","810","862","1442","504389"
"49","xxx","shandong","2017","small","83.2","0","13.6","3.3","0","1101","342","134","537","289710"
"50","xxx","tianjin","2015","small","1.4","0","17.1","27.8","53.6","2759","307","165","889","79796"
"51","xxx","shanghai","2019","middle","0","100","0","0","0","4640","704","739","1010","223392"
"52","xxx","shandong","2010","small","66.4","0","33.6","0","0","857","309","278","910","133970"
"53","xxx","shandong","2015","small","7.9","0","13.9","61.5","16.6","1116","412","132","564","107454"
"54","xxx","shanghai","2011","small","34.5","0","52.1","13.3","0","895","146","187","993","125849"
"55","xxx","tianjin","2012","middle","1.3","0","0","20.2","78.4","3102","851","861","853","204188"
"56","xxx","tianjin","2013","middle","0","0","36.3","0","63.7","3531","954","694","1200","391841"
"57","xxx","shandong","2013","small","24","0","0","76","0","1698","435","250","876","253143"
"58","xxx","tianjin","2021","small","0","0","61.4","38.6","0","2841","202","121","545","239759"
